time	vout
0.00000000000000000E0	1.58277276722185034E-2
5.20833333333333481E-14	1.58277689709351987E-2
1.04166666666666696E-13	1.58277689709352032E-2
2.60416666666666741E-13	1.58277689709351987E-2
7.29166666666666785E-13	1.58277689709352032E-2
2.13541666666666696E-12	1.58277689709351987E-2
6.35416666666666607E-12	1.58277689709351987E-2
1.15624999999999956E-11	1.58277689709352032E-2
1.67708333333333326E-11	1.58277689709351987E-2
2.19791666666666696E-11	1.58277689709351987E-2
2.71875000000000089E-11	1.58277689709352098E-2
3.23958333333333348E-11	1.58277689709352076E-2
3.76041666666666652E-11	1.58277689709352076E-2
4.28125000000000000E-11	1.58277689709352076E-2
4.80208333333333481E-11	1.58277689709352076E-2
5.32291666666666785E-11	1.58277689709351965E-2
5.84375000000000178E-11	1.58277689709351987E-2
6.36458333333333481E-11	1.58277689709351965E-2
6.88541666666666607E-11	1.58277689709351987E-2
7.40625000000000089E-11	1.58277689709351987E-2
7.92708333333333126E-11	1.58277689709352032E-2
8.44791666666666430E-11	1.54469853377575661E-2
8.96874999999999822E-11	1.37161506414955792E-2
9.48958333333333037E-11	1.19853159452335900E-2
1.00104166666666616E-10	1.02544812489716053E-2
1.05312499999999987E-10	8.48105098604891516E-3
1.10520833333333313E-10	6.38621781105004338E-3
1.15729166666666616E-10	3.68730205431759606E-3
1.20937499999999942E-10	2.35228403823958265E-3
1.26145833333333313E-10	1.38420297776912538E-3
1.31354166666666616E-10	4.02577433561877118E-4
1.36562499999999942E-10	-6.47386187680991210E-4
1.41770833333333224E-10	-1.61681226093937802E-3
1.46979166666666616E-10	-1.93491339671324147E-3
1.52187499999999920E-10	-2.08882798463131003E-3
1.57395833333333290E-10	-2.24960153055703049E-3
1.62604166666666616E-10	-2.43926583899983651E-3
1.67812499999999920E-10	-2.21584471871680666E-3
1.73020833333333224E-10	-5.56549761126283293E-4
1.78229166666666616E-10	1.12232313204741940E-3
1.83437499999999898E-10	2.78231890628260725E-3
1.88645833333333224E-10	4.41326300029821716E-3
1.93854166666666550E-10	6.37344555510373389E-3
1.99062499999999898E-10	8.96069859332908791E-3
2.04270833333333179E-10	1.01884602518019296E-2
2.09479166666666483E-10	1.10572331060624207E-2
2.14687499999999920E-10	1.19677302535518981E-2
2.19895833333333179E-10	1.30141798859113123E-2
2.25104166666666483E-10	1.40151862504946711E-2
2.30312499999999787E-10	1.43646604811183742E-2
2.35520833333333224E-10	1.45140705383297730E-2
2.40729166666666483E-10	1.46029069079245621E-2
2.45937499999999920E-10	1.46921652068571418E-2
2.51145833333333224E-10	1.43606789493557585E-2
2.56354166666666483E-10	1.25899274225129720E-2
2.61562499999999787E-10	1.07824866439159495E-2
2.66770833333333179E-10	8.99291779770275568E-3
2.71979166666666483E-10	7.30510685602965815E-3
2.77187499999999787E-10	5.30638530083889570E-3
2.82395833333333179E-10	2.68031546151835043E-3
2.87604166666666483E-10	1.41256687168725659E-3
2.92812499999999876E-10	5.15297959130098171E-4
2.98020833333333091E-10	-4.02205900041225828E-4
3.03229166666666439E-10	-1.45076008323348460E-3
3.08437499999999742E-10	-2.47686260438177408E-3
3.13645833333333091E-10	-2.93869658605354411E-3
3.18854166666666394E-10	-3.21985028594177081E-3
3.24062499999999787E-10	-3.43949924492493864E-3
3.29270833333333179E-10	-3.65939166733527088E-3
3.34479166666666439E-10	-3.43227735922852162E-3
3.39687499999999787E-10	-1.67278643730369581E-3
3.44895833333333091E-10	2.05745487815738315E-4
3.50104166666666483E-10	2.10914896575327360E-3
3.55312499999999698E-10	3.91128918688989069E-3
3.60520833333333091E-10	5.98627894472680566E-3
3.65729166666666483E-10	8.61708050496449829E-3
3.70937499999999742E-10	9.79549448308766380E-3
3.76145833333332957E-10	1.05781215980021748E-2
3.81354166666666439E-10	1.13842842451486526E-2
3.86562499999999787E-10	1.23381501710240560E-2
3.91770833333333091E-10	1.33051850965859186E-2
3.96979166666666217E-10	1.37850824841252551E-2
4.02187499999999698E-10	1.41037428387612263E-2
4.07395833333333002E-10	1.43566288378745521E-2
4.12604166666666394E-10	1.45917741661167111E-2
4.17812499999999787E-10	1.43579988498964939E-2
4.23020833333333091E-10	1.25709332091708292E-2
4.28229166666666305E-10	1.06600557187666345E-2
4.33437499999999609E-10	8.71841097711017987E-3
4.38645833333333091E-10	6.85565263683408865E-3
4.43854166666666305E-10	4.73011201042133855E-3
4.49062499999999698E-10	2.06306925968977195E-3
4.54270833333333002E-10	8.51156995008846451E-4
4.59479166666666305E-10	3.08878997246383236E-5
4.64687499999999787E-10	-8.27608005852176021E-4
4.69895833333333002E-10	-1.81268987031192719E-3
4.75104166666666305E-10	-2.79998009509646151E-3
4.80312499999999698E-10	-3.29947495754448372E-3
4.85520833333333179E-10	-3.64348621908847914E-3
4.90729166666666572E-10	-3.93253680453029331E-3
4.95937499999999876E-10	-4.18900476126533050E-3
5.01145833333333091E-10	-3.97255905950091748E-3
5.06354166666666572E-10	-2.20127459919315172E-3
5.11562500000000053E-10	-2.98365735651753061E-4
5.16770833333333357E-10	1.64627638012741628E-3
5.21979166666666750E-10	3.52369145913214998E-3
5.27187500000000231E-10	5.66682792688531034E-3
5.32395833333333535E-10	8.34979728738932714E-3
5.37604166666667016E-10	9.57060515614740304E-3
5.42812500000000231E-10	1.03902781898852359E-2
5.48020833333333712E-10	1.12383665927843190E-2
5.53229166666667105E-10	1.22108027635478700E-2
5.58437500000000320E-10	1.31828967697016108E-2
5.63645833333333712E-10	1.36575150120627864E-2
5.68854166666667105E-10	1.39803678449439839E-2
5.74062500000000675E-10	1.42538544566142145E-2
5.79270833333333979E-10	1.44958307944031128E-2
5.84479166666667194E-10	1.42797798584191837E-2
5.89687500000000586E-10	1.25616691642874434E-2
5.94895833333334245E-10	1.07210695835057090E-2
6.00104166666667549E-10	8.84347840820541009E-3
6.05312500000000853E-10	7.03451954180652983E-3
6.10520833333334245E-10	4.96580643949064182E-3
6.15729166666667638E-10	2.36847581601091361E-3
6.20937500000001030E-10	1.17998636080108987E-3
6.26145833333334245E-10	3.78286678965362100E-4
6.31354166666667638E-10	-4.57073615038104730E-4
6.36562500000001208E-10	-1.44324631207513909E-3
6.41770833333334423E-10	-2.45980460075112006E-3
6.46979166666667815E-10	-2.99097959679418324E-3
6.52187500000001119E-10	-3.37343746383994825E-3
6.57395833333334600E-10	-3.70976724983600015E-3
